Ano;Pais;Medalha;Qtde
2000;United States;Ouro;37
2000;United States;Prata;24
2000;United States;Bronze;32
2000;Germany;Ouro;13
2000;Germany;Prata;17
2000;Germany;Bronze;26
2000;Russian Federation;Ouro;32
2000;Russian Federation;Prata;28
2000;Russian Federation;Bronze;29
2000;Brazil;Ouro;0
2000;Brazil;Prata;6
2000;Brazil;Bronze;6
2000;Cuba;Ouro;11
2000;Cuba;Prata;11
2000;Cuba;Bronze;7
2004;United States;Ouro;36
2004;United States;Prata;39
2004;United States;Bronze;26
2004;Germany;Ouro;13
2004;Germany;Prata;16
2004;Germany;Bronze;20
2004;Russian Federation;Ouro;28
2004;Russian Federation;Prata;26
2004;Russian Federation;Bronze;36
2004;Cuba;Ouro;9
2004;Cuba;Prata;7
2004;Cuba;Bronze;11
2004;Brazil;Ouro;0
2004;Brazil;Prata;0
2004;Brazil;Bronze;0
2008;Russian Federation;Ouro;24
2008;Russian Federation;Prata;13
2008;Russian Federation;Bronze;23
2008;United States;Ouro;36
2008;United States;Prata;39
2008;United States;Bronze;37
2008;Brazil;Ouro;3
2008;Brazil;Prata;4
2008;Brazil;Bronze;10
2008;Germany;Ouro;16
2008;Germany;Prata;11
2008;Germany;Bronze;14
2008;Cuba;Ouro;3
2008;Cuba;Prata;10
2008;Cuba;Bronze;17
2012;Russian Federation;Ouro;18
2012;Russian Federation;Prata;21
2012;Russian Federation;Bronze;26
2012;United States;Ouro;48
2012;United States;Prata;26
2012;United States;Bronze;30
2012;Cuba;Ouro;5
2012;Cuba;Prata;3
2012;Cuba;Bronze;7
2012;Brazil;Ouro;3
2012;Brazil;Prata;5
2012;Brazil;Bronze;9
2012;Germany;Ouro;11
2012;Germany;Prata;20
2012;Germany;Bronze;13
2016;Germany;Ouro;17
2016;Germany;Prata;10
2016;Germany;Bronze;15
2016;Russian Federation;Ouro;19
2016;Russian Federation;Prata;17
2016;Russian Federation;Bronze;20
2016;United States;Ouro;46
2016;United States;Prata;37
2016;United States;Bronze;38
2016;Cuba;Ouro;5
2016;Cuba;Prata;2
2016;Cuba;Bronze;4
2016;Brazil;Ouro;7
2016;Brazil;Prata;6
2016;Brazil;Bronze;6
2020;United States;Ouro;39
2020;United States;Prata;41
2020;United States;Bronze;33
2020;Brazil;Ouro;7
2020;Brazil;Prata;6
2020;Brazil;Bronze;8
2020;Germany;Ouro;10
2020;Germany;Prata;11
2020;Germany;Bronze;16
2020;Cuba;Ouro;7
2020;Cuba;Prata;3
2020;Cuba;Bronze;5
2020;Russian Federation;Ouro;0
2020;Russian Federation;Prata;0
2020;Russian Federation;Bronze;0
