Ano,Pais,Medalha,Quantidade
2013,EUA,Ouro,36
2013,Brasil,Ouro,8
2013,China,Ouro,32
2014,EUA,Ouro,38
2014,Brasil,Ouro,10
2014,China,Ouro,34
2015,EUA,Ouro,40
2015,Brasil,Ouro,12
2015,China,Ouro,36
2016,EUA,Ouro,42
2016,Brasil,Ouro,14
2016,China,Ouro,38
2017,EUA,Ouro,44
2017,Brasil,Ouro,16
2017,China,Ouro,40
2018,EUA,Ouro,46
2018,Brasil,Ouro,18
2018,China,Ouro,42
2019,EUA,Ouro,48
2019,Brasil,Ouro,20
2019,China,Ouro,44
2020,EUA,Ouro,50
2020,Brasil,Ouro,22
2020,China,Ouro,46
2021,EUA,Ouro,52
2021,Brasil,Ouro,24
2021,China,Ouro,48
2022,EUA,Ouro,54
2022,Brasil,Ouro,26
2022,China,Ouro,50
2013,EUA,Prata,28
2013,Brasil,Prata,12
2013,China,Prata,25
2014,EUA,Prata,30
2014,Brasil,Prata,14
2014,China,Prata,27
2015,EUA,Prata,32
2015,Brasil,Prata,16
2015,China,Prata,29
2016,EUA,Prata,34
2016,Brasil,Prata,18
2016,China,Prata,31
2017,EUA,Prata,36
2017,Brasil,Prata,20
2017,China,Prata,33
2018,EUA,Prata,38
2018,Brasil,Prata,22
2018,China,Prata,35
2019,EUA,Prata,40
2019,Brasil,Prata,24
2019,China,Prata,37
2020,EUA,Prata,42
2020,Brasil,Prata,26
2020,China,Prata,39
2021,EUA,Prata,44
2021,Brasil,Prata,28
2021,China,Prata,41
2022,EUA,Prata,46
2022,Brasil,Prata,30
2022,China,Prata,43
2013,EUA,Bronze,30
2013,Brasil,Bronze,15
2013,China,Bronze,20
2014,EUA,Bronze,32
2014,Brasil,Bronze,18
2014,China,Bronze,22
2015,EUA,Bronze,34
2015,Brasil,Bronze,20
2015,China,Bronze,24
2016,EUA,Bronze,36
2016,Brasil,Bronze,22
2016,China,Bronze,26
2017,EUA,Bronze,38
2017,Brasil,Bronze,24
2017,China,Bronze,28
2018,EUA,Bronze,40
2018,Brasil,Bronze,26
2018,China,Bronze,30
2019,EUA,Bronze,42
2019,Brasil,Bronze,28
2019,China,Bronze,32
2020,EUA,Bronze,44
2020,Brasil,Bronze,30
2020,China,Bronze,34
2021,EUA,Bronze,46
2021,Brasil,Bronze,32
2021,China,Bronze,36
2022,EUA,Bronze,48
2022,Brasil,Bronze,34
2022,China,Bronze,38
